Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Jul 30 00:07:28 2023,0.16,-0.89,-0.55,0.15,-0.87,-0.6,0.16,-0.86,-0.59,0.11,-0.95,-0.66,-0.37,-0.76,0.21,-0.43,-0.74,0.33,-0.62,-0.81,0.33,-0.43,0,-0.16,-0.13,-0.4,-0.99,-0.08,-0.44,-0.98,-0.08,-0.44,-0.98,-0.09,-0.44,-1,-0.08,-0.43,-1,-0.08,-0.43,-1
Sun Jul 30 00:07:54 2023,-0.84,-0.39,0.2,-0.83,-0.35,0.2,-0.87,-0.4,0.2,-0.85,-0.38,0.2,-0.75,-0.46,0.19,-0.86,-0.36,0.14,-0.55,-0.4,0.15,-0.27,-0.24,-1.38,-0.26,-0.16,-1.05,-0.25,-0.16,-1.04,-0.26,-0.16,-1.03,-0.25,-0.15,-1.04,-0.26,-0.15,-1.03,-0.25,-0.15,-1.04
Sun Jul 30 00:08:17 2023,-0.88,-0.33,-0.15,-0.91,-0.3,-0.14,-0.92,-0.33,-0.14,-0.92,-0.32,-0.16,-0.99,-0.35,-0.15,-0.95,-0.16,-0.08,-0.8,-0.43,-0.24,-0.71,-0.33,-0.11,-0.76,-0.4,-0.04,-0.63,-0.71,0.23,0.14,-0.28,-1.98,-0.21,-0.56,-0.9,-0.22,-0.55,-0.89,-0.22,-0.55,-0.9
Sun Jul 30 00:08:57 2023,-0.51,-0.72,0.32,-0.7,-0.71,0.49,-0.33,-0.36,0.98,-0.56,-0.62,0.49,-0.68,-0.45,0.42,-0.63,-0.47,0.15,-1.05,-0.47,0.11,-0.75,-0.5,0.31,-0.83,-0.52,0.23,-0.55,-0.51,0.07,-0.12,-0.59,-0.99,-0.15,-0.53,-0.93,-0.14,-0.53,-0.92,-0.15,-0.54,-0.93
Sun Jul 30 00:09:23 2023,-0.88,-0.45,-0.009999999,-0.88,-0.38,-0.05,-0.9,-0.37,-0.03,-0.92,-0.37,-0.03,-0.98,-0.44,0.12,-0.72,-0.65,0.28,-0.6,-0.48,0.4,-0.3,-0.65,0.44,-0.71,-0.21,0.21,-0.55,-0.69,0.2,-0.18,-0.39,-1.18,-0.14,-0.27,-1.04,-0.15,-0.27,-1.05,-0.15,-0.26,-1.05
Sun Jul 30 00:09:46 2023,-0.44,-0.56,0.54,-0.65,-0.53,0.42,-0.6,-0.61,0.39,-0.69,-0.54,0.3,-0.6,-0.57,0.33,-0.72,-0.5,0.39,-0.6,-0.6,0.37,-0.73,-0.63,0.28,-0.31,-0.33,0.17,-0.33,-0.16,-1.09,-0.19,-0.33,-1.02,-0.17,-0.33,-1.02,-0.18,-0.33,-1.02,-0.18,-0.33,-1.01
Sun Jul 30 00:11:00 2023,-0.88,-0.36,-0.31,-0.9,-0.35,-0.21,-0.89,-0.33,-0.23,-0.95,-0.24,-0.34,-0.82,-0.29,-0.34,-0.9700001,-0.39,-0.38,-0.77,-0.32,-0.39,-0.68,-0.18,-0.24,-1.33,-1.71,-0.7,-0.35,-0.11,-1.1,-0.36,-0.07,-1,-0.36,-0.07,-1.01,-0.35,-0.08,-1,-0.36,-0.07,-1.01
Sun Jul 30 00:11:23 2023,-0.91,-0.45,0.1,-1.37,-0.33,-0.03,-0.63,-0.52,0.4,-0.54,-0.61,0.35,-0.71,-0.4,0.34,-0.92,-0.57,0.14,-0.76,-0.56,0.17,-0.7,-0.53,-0.07,-0.94,-0.35,-0.19,-0.25,0,-1.09,-0.3,0.02,-1.04,-0.27,0.02,-1.04,-0.27,0.02,-1.05,-0.25,0.009999999,-1.06
Sat Aug  5 21:02:22 2023,0.009999999,0.49,-0.9700001,0.02,0.49,-0.9599999,0.02,0.5,-0.9599999,0,0.54,-0.93,-1.07,0.14,-0.22,-0.94,-0.009999999,-0.36,-0.93,-0.03,-0.37,-0.92,-0.07,-0.38,-0.93,-0.07,-0.38,-0.93,-0.05,-0.38,-0.92,-0.04,-0.39,-0.93,-0.08,-0.35,-0.86,-0.07,-0.35,-0.99,0.11,-0.27
Sat Aug  5 21:04:22 2023,-0.009999999,0.55,-0.93,0,0.57,-0.94,0.009999999,0.04,-1,-0.58,-0.8,-0.71,-0.76,0,-0.04,-1.03,0.14,-0.16,-0.88,0.25,-0.24,-1.43,0.58,-0.42,-1.67,-0.17,0.43,-0.52,0.2,-1.13,-0.44,0.18,-0.98,-0.43,0.18,-0.9599999,-0.42,0.19,-0.95,-0.45,0.19,-0.95
